No;DB010;DB020;DB040;DB090;HX040;HX050;HX090
1;2006;AT;Tyrol;504.5696203;3;1.8;16090.69444
2;2006;AT;Tyrol;493.3823529;4;2.1;27076.24286
3;2006;AT;Vienna;868.2204176;1;1;19659.53
4;2006;AT;Vienna;635.4571429;5;2.8;15015.91071
5;2006;AT;Upper Austria;493.7943925;2;1.5;14109.38667
6;2006;AT;Lower Austria;515.1014493;2;1.5;21753.53333
7;2006;AT;Salzburg;614.6862745;2;1.5;37668.16
8;2006;AT;Carinthia;527.6;3;1.8;28651.57222
9;2006;AT;Upper Austria;493.7943925;2;1.5;24420.63333
10;2006;AT;Lower Austria;655.0646154;1;1;15043.48
11;2006;AT;Tyrol;567.1543624;2;1.5;23970.07333
12;2006;AT;Burgenland;480.9878049;2;1.5;17481.76
13;2006;AT;Lower Austria;655.0646154;1;1;29348.53
14;2006;AT;Vorarlberg;485.6792453;4;2.1;20459.3
15;2006;AT;Vienna;868.2204176;1;1;22856.44
16;2006;AT;Lower Austria;538.1707317;5;3;29197.50333
17;2006;AT;Styria;482.0213904;3;2;14338.625
18;2006;AT;Vienna;868.2204176;1;1;17472.04
19;2006;AT;Carinthia;527.6;3;2;15137.04
20;2006;AT;Upper Austria;507.6995074;3;2;41833.055
21;2006;AT;Upper Austria;643.2557252;1;1;18948.97
22;2006;AT;Tyrol;679.7288136;1;1;20688.55
23;2006;AT;Carinthia;535.7936508;2;1.3;12797.23846
24;2006;AT;Tyrol;493.3823529;4;2.5;26471.172
25;2006;AT;Styria;426.8333333;7;3.8;25988.13947
26;2006;AT;Carinthia;630.7863248;1;1;10594.3
27;2006;AT;Styria;482.0213904;3;1.8;17900.16111
28;2006;AT;Lower Austria;556.4260355;4;2.5;55249.536
29;2006;AT;Lower Austria;515.1014493;2;1.5;25131.58667
30;2006;AT;Salzburg;554.7636364;3;1.8;14774.08333
31;2006;AT;Carinthia;630.7863248;1;1;15697.78
32;2006;AT;Vienna;651.8676056;2;1.5;21540.38667
33;2006;AT;Upper Austria;493.7943925;2;1.5;7604.006667
34;2006;AT;Upper Austria;507.6995074;3;1.8;12879.37778
35;2006;AT;Lower Austria;574.0582011;3;2;24398.555
36;2006;AT;Upper Austria;493.7943925;2;1.5;17290.30667
37;2006;AT;Vienna;666.9791667;4;2.1;11045.51429
38;2006;AT;Burgenland;521.0517241;1;1;9156.97
39;2006;AT;Tyrol;567.1543624;2;1.5;40152.38
40;2006;AT;Styria;536.8923077;2;1.5;0
41;2006;AT;Styria;616.3409091;1;1;18433.42
42;2006;AT;Salzburg;614.6862745;2;1.3;6970.684615
43;2006;AT;Lower Austria;574.0582011;3;2;22312.525
44;2006;AT;Vorarlberg;485.6792453;4;2.1;18617.1619
45;2006;AT;Tyrol;493.3823529;4;2.3;17278.8913
46;2006;AT;Lower Austria;515.1014493;2;1.5;14733.52667
47;2006;AT;Lower Austria;655.0646154;1;1;24113.28
48;2006;AT;Vienna;868.2204176;1;1;11404.91
49;2006;AT;Tyrol;567.1543624;2;1.5;20001.82667
50;2006;AT;Tyrol;475.2972973;5;2.8;28656.59643
51;2006;AT;Upper Austria;507.6995074;3;2;27152.455
52;2006;AT;Upper Austria;492.875;4;2.3;14904.25652
53;2006;AT;Vienna;868.2204176;1;1;29309.96
54;2006;AT;Lower Austria;515.1014493;2;1.5;28478.40667
55;2006;AT;Upper Austria;493.7943925;2;1.5;16181.78
56;2006;AT;Carinthia;630.7863248;1;1;9794.55
57;2006;AT;Carinthia;535.7936508;2;1.5;32160.5
58;2006;AT;Salzburg;478.5;7;4;36314.4175
59;2006;AT;Burgenland;480.9878049;2;1.5;27386.18
60;2006;AT;Tyrol;493.3823529;4;2.5;9283.348
61;2006;AT;Salzburg;693.3203883;1;1;20266.3
62;2006;AT;Vienna;868.2204176;1;1;18377.6
63;2006;AT;Vienna;651.8676056;2;1.5;21908.52
64;2006;AT;Tyrol;567.1543624;2;1.5;20006.46667
65;2006;AT;Upper Austria;493.7943925;2;1.5;1983.26
66;2006;AT;Vienna;642.36;3;2;21720.89
67;2006;AT;Styria;536.8923077;2;1.5;10159.1
68;2006;AT;Tyrol;489.375;6;3.3;45048.05758
69;2006;AT;Vienna;642.36;3;1.8;20182.88889
70;2006;AT;Lower Austria;515.1014493;2;1.5;30587.03333
71;2006;AT;Styria;536.8923077;2;1.5;25988.75333
